labels	dialog_state	sent	utterance	context	Emoberta_softmax	VAD_personality	dialog_state_sum
1	[0, 1]	 Well, what happened?  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)	 Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)	 Well, what happened?	[[0.4672359824180603, 0.08142130821943283, 0.35810980200767517, 0.021464984863996506, 0.039447933435440063, 0.002325281500816345, 0.029994569718837738], [0.9439407587051392, 0.009912675246596336, 0.0009611707646399736, 0.00736604630947113, 0.030944079160690308, 0.003158285515382886, 0.003716879291459918]]	[0.4279528571428571, 0.32495428571428564, 0.5932585714285713, 0.19787212857142858, 0.0302006428571428]	1
1	[0, 0]	 (to Chandler) Anything but stew.  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.	<pad>	 (to Chandler) Anything but stew. All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.	[[0.8904304504394531, 0.06623367965221405, 0.0010717838304117322, 0.021958108991384506, 0.01015178207308054, 0.00888090580701828, 0.0012733271578326821], [0.9707538485527039, 0.011315250769257545, 0.0004628491587936878, 0.011135140433907509, 0.00229415250942111, 0.0019697342067956924, 0.0020689673256129026]]	[0.0, 0.0, 0.0, 0.0, 0.0]	0
1	[1]	 Hey pal.	 Hey pal.	<pad>	[[0.907916784286499, 0.027048641815781593, 0.0009570745169185102, 0.014564148150384426, 0.04598698765039444, 0.002765635261312127, 0.0007607412408106029]]	[0.5589706666666666, 0.38661866666666667, 0.6373526666666666, 0.16447567999999999, 0.04703106666666662]	1
1	[0]	 Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.	<pad>	 Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.	[[0.048404231667518616, 0.207899808883667, 0.23132073879241943, 0.13703110814094543, 0.03994430974125862, 0.3088105022907257, 0.026589274406433105]]	[0.48680749999999995, 0.31747000000000003, 0.55425, 0.13314852500000005, 0.01474512499999997]	0
0	[0, 0, 0]	 Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed.  Alright, that sounds like a two person job. [they walk into Rachel's bedroom]  Well, my goodness, what was that?	<pad>	 Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed. Alright, that sounds like a two person job. [they walk into Rachel's bedroom] Well, my goodness, what was that?	[[0.9901187419891357, 0.0034655386116355658, 0.0002550749049987644, 0.003890761872753501, 0.0013255116064101458, 0.00047337249270640314, 0.00047091784654185176], [0.9623308181762695, 0.028409849852323532, 0.0011827927082777023, 0.005232381168752909, 0.0008196916314773262, 0.0011539040133357048, 0.0008705353830009699], [0.00966593250632286, 0.022846130654215813, 0.9331271648406982, 0.012106026522815228, 0.00652489997446537, 0.00440871762111783, 0.011321136727929115]]	[0.5525699999999999, 0.3701428571428571, 0.6267671428571429, 0.1547576142857143, 0.03127949999999996]	0
0	[0, 0]	 Oh my God, you guys are selling the entertainment center?  Why? I love that thing.	<pad>	 Oh my God, you guys are selling the entertainment center? Why? I love that thing.	[[0.0022420466411858797, 0.009266280569136143, 0.9505549073219299, 0.01289401762187481, 0.01604507304728031, 0.004650149494409561, 0.004347557667642832], [0.018402215093374252, 0.9490579962730408, 0.017103027552366257, 0.008044114336371422, 0.0045797694474458694, 0.0018578710732981563, 0.0009550253162160516]]	[0.49587272727272735, 0.36907818181818186, 0.6545245454545455, 0.20760290909090914, 0.03901090909090904]	0
1	[0, 0, 0, 0, 0, 1, 0]	 Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own.  Oh my God, Phoebe.  No, not Phoebe, Dr. Philange. Oh no! You have it too!  Hello? What kind of bitch hangs up on a doctor!  Hey.  Hey.  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.	 Hey.	 Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own. Oh my God, Phoebe. No, not Phoebe, Dr. Philange. Oh no! You have it too! Hello? What kind of bitch hangs up on a doctor! Hey. Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.	[[0.8901686072349548, 0.02860753983259201, 0.0024119289591908455, 0.021319832652807236, 0.029202163219451904, 0.008632673881947994, 0.01965734362602234], [0.00800926610827446, 0.08544308692216873, 0.6847696900367737, 0.08607947826385498, 0.08982298523187637, 0.008650836534798145, 0.03722468763589859], [0.13568225502967834, 0.24859075248241425, 0.28631508350372314, 0.21259459853172302, 0.05023347958922386, 0.009963943623006344, 0.056619931012392044], [0.002281744498759508, 0.009124476462602615, 0.03783617168664932, 0.8315520286560059, 0.005871500354260206, 0.107981838285923, 0.005352288484573364], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.008295981213450432, 0.007334137801080942, 0.00801884289830923, 0.009916499257087708, 0.8868469595909119, 0.004528972785919905, 0.07505867630243301]]	[0.4498005405405407, 0.32811189189189194, 0.5752943243243244, 0.17492230810810802, 0.03417802702702705]	1
1	[0, 0]	 I'm so sorry, you guys. I didn't mean to bring you down.  No, you were right. I don't have a plan. (There's a knock on the door.)	<pad>	 I'm so sorry, you guys. I didn't mean to bring you down. No, you were right. I don't have a plan. (There's a knock on the door.)	[[0.01436122227460146, 0.0080094700679183, 0.0007076837355270982, 0.007479033432900906, 0.9644874334335327, 0.0016339925350621343, 0.003321222960948944], [0.632416307926178, 0.1522740125656128, 0.0033500296995043755, 0.02855120785534382, 0.16704639792442322, 0.007355509791523218, 0.009006578475236893]]	[0.5626749999999999, 0.39767, 0.6832149999999999, 0.19253225000000004, 0.04095625000000003]	0
1	[0]	 Oh, it's your audition from this morning. Can I use the phone again?	<pad>	 Oh, it's your audition from this morning. Can I use the phone again?	[[0.9627845287322998, 0.008112129755318165, 0.0020798752084374428, 0.021442435681819916, 0.0013665042351931334, 0.0016176162753254175, 0.0025968533009290695]]	[0.48313000000000006, 0.39475249999999995, 0.738695, 0.2749783499999999, 0.04264299999999993]	0
0	[0, 0, 0]	 You know, it still smells like monkey in there.  That saves us a conversation.  Well, listen, this has been great but I'm officially wiped.	<pad>	 You know, it still smells like monkey in there. That saves us a conversation. Well, listen, this has been great but I'm officially wiped.	[[0.07121997326612473, 0.026017917320132256, 0.009654711000621319, 0.017848698422312737, 0.029466429725289345, 0.8286015391349792, 0.017190713435411453], [0.9032973051071167, 0.06731194257736206, 0.0006835128297097981, 0.0193825401365757, 0.003353641601279378, 0.003930056467652321, 0.002040836727246642], [0.9093613028526306, 0.03601747378706932, 0.0013503512600436807, 0.009781268425285816, 0.035663582384586334, 0.004975153133273125, 0.0028508349787443876]]	[0.48539575757575754, 0.36351818181818174, 0.6383524242424241, 0.2030609151515151, 0.04229730303030299]	0
0	[1, 0, 1, 0, 1]	 Hey.  Hey.  Hey listen, I'm sorry about what happened. . .  Yeah me too.  I know. Yeah.	 Hey. Hey listen, I'm sorry about what happened. . . I know. Yeah.	 Hey. Yeah me too.	[[0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.3367515504360199, 0.011206753551959991, 0.0015292461030185223, 0.048178594559431076, 0.5888136029243469, 0.005430320743471384, 0.008089850656688213], [0.48659253120422363, 0.04053864628076553, 0.003257109085097909, 0.03321080654859543, 0.4274469316005707, 0.00503495242446661, 0.003919022623449564], [0.376757949590683, 0.07505130767822266, 0.0013533912133425474, 0.026564614847302437, 0.5116733312606812, 0.00533160287886858, 0.0032678579445928335]]	[0.5128334000000001, 0.36913360000000006, 0.6346574, 0.185355778, 0.04136488999999999]	3
1	[0]	 Nooo Way! The most romantic song ever is The Way We Were.	<pad>	 Nooo Way! The most romantic song ever is The Way We Were.	[[0.03341458737850189, 0.9495052099227905, 0.007533777039498091, 0.003017086535692215, 0.0032375373411923647, 0.0021617005113512278, 0.0011300703044980764]]	[0.0, 0.0, 0.0, 0.0, 0.0]	0
0	[0, 0, 0]	 Hey.  Hey.  (Reading) 'A Woman Undone, by Rachel Karen Green'.	<pad>	 Hey. Hey. (Reading) 'A Woman Undone, by Rachel Karen Green'.	[[0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9750380516052246, 0.006097603589296341, 0.000790140125900507, 0.011862053535878658, 0.005280597601085901, 0.0005459849489852786, 0.0003855136164929718], [0.9751123785972595, 0.010073142126202583, 0.0007308433996513486, 0.006799374241381884, 0.005835202056914568, 0.0008167925989255309, 0.0006322889821603894]]	[0.49538875000000004, 0.35055000000000003, 0.6152475, 0.17721671249999996, 0.030684812499999936]	0
1	[1]	 (getting an idea) Hey, y'know what a really good rainy day game is?	 (getting an idea) Hey, y'know what a really good rainy day game is?	<pad>	[[0.9509516358375549, 0.040104638785123825, 0.0007093468448147178, 0.004084873478859663, 0.001582515542395413, 0.0013557210331782699, 0.0012113108532503247]]	[0.5301554545454545, 0.3577481818181818, 0.6266786363636363, 0.1636118818181819, 0.02260849999999992]	1
1	[0, 1]	 Is that the heartbeat?  That's it.	 That's it.	 Is that the heartbeat?	[[0.8068364262580872, 0.09595515578985214, 0.05601094290614128, 0.02171814627945423, 0.007742445450276136, 0.0013344896724447608, 0.010402337647974491], [0.8725882768630981, 0.025866445153951645, 0.0017855571350082755, 0.07417449355125427, 0.02073066122829914, 0.0037126627285033464, 0.0011419040383771062]]	[0.5032525000000001, 0.36724333333333337, 0.6474525, 0.19784834166666665, 0.036783374999999896]	1
0	[0, 1]	 (In a sexy voice.)Hello Joey.  Hey, Felicity.	 Hey, Felicity.	 (In a sexy voice.)Hello Joey.	[[0.7470191121101379, 0.23399074375629425, 0.003163779154419899, 0.00760730542242527, 0.0023576943203806877, 0.002258964814245701, 0.003602323355153203], [0.9550378322601318, 0.007112649269402027, 0.0005645755445584655, 0.02554304711520672, 0.010460413992404938, 0.0006248944555409253, 0.0006566962110809982]]	[0.63822, 0.42006, 0.7060424999999999, 0.16525739999999997, 0.033604499999999926]	1
1	[1]	 Did Joey say what he was gonna go when he left?	 Did Joey say what he was gonna go when he left?	<pad>	[[0.2904582917690277, 0.004959173034876585, 0.0039612953551113605, 0.019629672169685364, 0.6660987734794617, 0.0031736332457512617, 0.011719206348061562]]	[0.48163916666666673, 0.34329833333333337, 0.5754558333333334, 0.16115157500000002, 0.0431370416666666]	1
